,time,number,t2m
235,2024-03-17 00:00:00,36,280.23108391124924
236,2024-03-17 00:00:00,37,279.9795657990138
237,2024-03-17 00:00:00,38,280.56502155473765
238,2024-03-17 00:00:00,39,280.1906486035276
239,2024-03-17 00:00:00,40,280.44954127603495
240,2024-03-17 00:00:00,41,280.9805612461348
241,2024-03-17 00:00:00,42,280.04085983963967
242,2024-03-17 00:00:00,43,279.80866014958656
243,2024-03-17 00:00:00,44,280.3381484140524
244,2024-03-17 00:00:00,45,280.7364176941712
245,2024-03-17 00:00:00,46,280.92182291659503
246,2024-03-17 00:00:00,47,280.48843627303467
247,2024-03-17 00:00:00,48,280.6153613185536
248,2024-03-17 00:00:00,49,280.5601854953761
249,2024-03-17 00:00:00,50,280.47980536993936
250,2024-03-17 06:00:00,1,281.17715308274
251,2024-03-17 06:00:00,2,282.04745445587173
252,2024-03-17 06:00:00,3,282.29848207810073
253,2024-03-17 06:00:00,4,281.8236619366303
254,2024-03-17 06:00:00,5,281.7102210637438
255,2024-03-17 06:00:00,6,280.17486687244417
256,2024-03-17 06:00:00,7,282.09681323967493
257,2024-03-17 06:00:00,8,283.0352496982588
258,2024-03-17 06:00:00,9,281.85113798207726
259,2024-03-17 06:00:00,10,282.5227995076999
260,2024-03-17 06:00:00,11,281.2463465939954
261,2024-03-17 06:00:00,12,281.3155228950752
262,2024-03-17 06:00:00,13,282.4861676488
263,2024-03-17 06:00:00,14,281.61357732230493
264,2024-03-17 06:00:00,15,281.56906320295104
265,2024-03-17 06:00:00,16,281.6555443356606
266,2024-03-17 06:00:00,17,282.1153658090402
267,2024-03-17 06:00:00,18,282.3455433034528
268,2024-03-17 06:00:00,19,280.9940712340308
269,2024-03-17 06:00:00,20,281.90782830071305
270,2024-03-17 06:00:00,21,282.01491861877975
271,2024-03-17 06:00:00,22,282.2707478800189
272,2024-03-17 06:00:00,23,281.70667576755704
273,2024-03-17 06:00:00,24,282.7463596895699
274,2024-03-17 06:00:00,25,281.9668419930635
275,2024-03-17 06:00:00,26,281.9055479524376
276,2024-03-17 06:00:00,27,281.4462427843279
277,2024-03-17 06:00:00,28,282.2310698200265
278,2024-03-17 06:00:00,29,280.95054669977753
279,2024-03-17 06:00:00,30,282.13291158312927
280,2024-03-17 06:00:00,31,282.27280449601074
281,2024-03-17 06:00:00,32,281.8399513678959
282,2024-03-17 06:00:00,33,281.6268033423024
283,2024-03-17 06:00:00,34,282.6509808960423
284,2024-03-17 06:00:00,35,281.0299114248502
285,2024-03-17 06:00:00,36,280.9660702782261
286,2024-03-17 06:00:00,37,280.5202406776609
287,2024-03-17 06:00:00,38,280.53473164556965
288,2024-03-17 06:00:00,39,282.1242634698583
289,2024-03-17 06:00:00,40,281.93199138734474
290,2024-03-17 06:00:00,41,282.4991441212503
291,2024-03-17 06:00:00,42,281.41672733306484
292,2024-03-17 06:00:00,43,280.86307598196737
293,2024-03-17 06:00:00,44,281.52481584132005
294,2024-03-17 06:00:00,45,281.3536778545213
295,2024-03-17 06:00:00,46,281.4856626916854
296,2024-03-17 06:00:00,47,281.7692175459186
297,2024-03-17 06:00:00,48,282.3791031459968
298,2024-03-17 06:00:00,49,281.8399513678959
299,2024-03-17 06:00:00,50,282.1736136485737
300,2024-03-17 12:00:00,1,284.2051458093422
301,2024-03-17 12:00:00,2,286.11513110448675
302,2024-03-17 12:00:00,3,284.2918850946867
303,2024-03-17 12:00:00,4,284.4587119324816
304,2024-03-17 12:00:00,5,285.0316903108493
305,2024-03-17 12:00:00,6,284.42488533221484
306,2024-03-17 12:00:00,7,284.5159357665631
307,2024-03-17 12:00:00,8,285.1481773848283
308,2024-03-17 12:00:00,9,283.8170563481284
309,2024-03-17 12:00:00,10,284.62630462309363
310,2024-03-17 12:00:00,11,283.8328036588606
311,2024-03-17 12:00:00,12,284.1436194313449
312,2024-03-17 12:00:00,13,284.2450734168817
313,2024-03-17 12:00:00,14,284.0815509328142
314,2024-03-17 12:00:00,15,284.0085539727371
315,2024-03-17 12:00:00,16,285.0296681152089
316,2024-03-17 12:00:00,17,284.79773518287857
317,2024-03-17 12:00:00,18,284.4925299276606
318,2024-03-17 12:00:00,19,283.9887278503727
319,2024-03-17 12:00:00,20,284.9218463646765
320,2024-03-17 12:00:00,21,284.1807417802513
321,2024-03-17 12:00:00,22,284.41879293002995
322,2024-03-17 12:00:00,23,284.36945135640246
323,2024-03-17 12:00:00,24,284.82544356569696
324,2024-03-17 12:00:00,25,284.56019173328195
325,2024-03-17 12:00:00,26,283.9404016771093
326,2024-03-17 12:00:00,27,283.9747273724703
327,2024-03-17 12:00:00,28,284.6291184868146
328,2024-03-17 12:00:00,29,284.3185866822288
329,2024-03-17 12:00:00,30,284.99227040349194
330,2024-03-17 12:00:00,31,284.98769249676536
